# LAMMPS data file written by OVITO Basic 3.9.4

3864 atoms
4 atom types

0.0 130.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

219 1 0.0 118.3183324721 12.6775931163 12.0840252045
220 1 0.0 118.3053671466 11.1590641325 12.0073820772
221 1 0.0 119.6042395582 10.3542637973 11.9416173292
222 1 0.0 120.8918748301 11.1754926955 11.9777137698
223 2 0.0 119.5951326003 14.6463382006 12.1777276086
224 2 0.0 119.6108270967 9.214894318 11.8966203964
225 4 0.0 122.294472542 13.1959136604 12.1640060164
226 3 0.0 122.2964833664 10.6732670609 12.0408825409
227 1 0.0 123.1271792424 11.932255294 12.1661075216
228 1 0.0 127.6531649558 11.8991973813 12.3584570476
229 1 0.0 126.8950825903 10.5665826544 12.3392962657
230 1 0.0 125.3697610315 10.5781011941 12.2950410406
231 1 0.0 124.6350380528 11.9228427813 12.2886129073
232 1 0.0 129.0388464137 7.1062580289 0.0218803767
233 1 0.0 130.5650189306 7.0948719896 0.0541446609
234 2 0.0 124.7862176871 9.6000508052 12.2528873206
235 2 0.0 128.467508197 8.0926242763 0.0510542122
236 2 0.0 131.1491888005 8.072479419 0.1024792783
237 4 0.0 116.9417258812 13.1489924748 12.2488079283
238 3 0.0 116.9199443098 10.5607075332 12.0983648864
239 1 0.0 116.1623801908 11.8773504801 12.2782289998
240 2 0.0 127.4647903453 9.5792292985 12.3307666274
241 1 0.0 6.3083245127 18.559560698 12.0513900664
242 1 0.0 5.0178411854 19.3704750581 12.1002191556
243 1 0.0 3.7343186582 18.5392149694 12.0840252045
244 1 0.0 3.7213533326 17.0206859856 12.0073820772
245 1 0.0 5.0202257443 16.2158856504 11.9416173292
246 1 0.0 6.3078610162 17.0371145486 11.9777137698
247 2 0.0 5.0111187864 20.5079600537 12.1777276086
248 2 0.0 5.0268132828 15.0765161711 11.8966203964
249 4 0.0 7.7104587281 19.0575355135 12.1640060164
250 3 0.0 7.7124695525 16.534888914 12.0408825409
251 1 0.0 8.5431654285 17.7938771471 12.1661075216
252 1 0.0 13.0691511418 17.7608192344 12.3584570476
253 1 0.0 12.3110687763 16.4282045075 12.3392962657
254 1 0.0 10.7857472175 16.4397230472 12.2950410406
255 1 0.0 10.0510242389 17.7844646344 12.2886129073
256 1 0.0 14.4548325998 12.967879882 0.0218803767
257 1 0.0 15.9810051167 12.9564938427 0.0541446609
258 2 0.0 10.2022038732 15.4616726583 12.2528873206
259 2 0.0 13.883494383 13.9542461294 0.0510542122
260 2 0.0 16.5651749866 13.9341012721 0.1024792783
261 4 0.0 2.3577120673 19.0106143279 12.2488079283
262 3 0.0 2.3359304959 16.4223293863 12.0983648864
263 1 0.0 1.5783663769 17.7389723332 12.2782289998
264 2 0.0 12.8807765314 15.4408511516 12.3307666274
265 1 0.0 19.3083245127 18.559560698 12.0513900664
266 1 0.0 18.0178411854 19.3704750581 12.1002191556
267 1 0.0 16.7343186582 18.5392149694 12.0840252045
268 1 0.0 16.7213533326 17.0206859856 12.0073820772
269 1 0.0 18.0202257443 16.2158856504 11.9416173292
270 1 0.0 19.3078610162 17.0371145486 11.9777137698
271 2 0.0 18.0111187864 20.5079600537 12.1777276086
272 2 0.0 18.0268132828 15.0765161711 11.8966203964
273 4 0.0 20.7104587281 19.0575355135 12.1640060164
274 3 0.0 20.7124695525 16.534888914 12.0408825409
275 1 0.0 21.5431654285 17.7938771471 12.1661075216
276 1 0.0 26.0691511418 17.7608192344 12.3584570476
277 1 0.0 25.3110687763 16.4282045075 12.3392962657
278 1 0.0 23.7857472175 16.4397230472 12.2950410406
279 1 0.0 23.0510242389 17.7844646344 12.2886129073
280 1 0.0 27.4548325998 12.967879882 0.0218803767
281 1 0.0 28.9810051167 12.9564938427 0.0541446609
282 2 0.0 23.2022038732 15.4616726583 12.2528873206
283 2 0.0 26.883494383 13.9542461294 0.0510542122
284 2 0.0 29.5651749866 13.9341012721 0.1024792783
285 4 0.0 15.3577120673 19.0106143279 12.2488079283
286 3 0.0 15.3359304959 16.4223293863 12.0983648864
287 1 0.0 14.5783663769 17.7389723332 12.2782289998
288 2 0.0 25.8807765314 15.4408511516 12.3307666274
289 1 0.0 32.3083245127 18.559560698 12.0513900664
290 1 0.0 31.0178411854 19.3704750581 12.1002191556
291 1 0.0 29.7343186582 18.5392149694 12.0840252045
292 1 0.0 29.7213533326 17.0206859856 12.0073820772
293 1 0.0 31.0202257443 16.2158856504 11.9416173292
294 1 0.0 32.3078610162 17.0371145486 11.9777137698
295 2 0.0 31.0111187864 20.5079600537 12.1777276086
296 2 0.0 31.0268132828 15.0765161711 11.8966203964
297 4 0.0 33.7104587281 19.0575355135 12.1640060164
298 3 0.0 33.7124695525 16.534888914 12.0408825409
299 1 0.0 34.5431654285 17.7938771471 12.1661075216
300 1 0.0 39.0691511418 17.7608192344 12.3584570476
301 1 0.0 38.3110687763 16.4282045075 12.3392962657
302 1 0.0 36.7857472175 16.4397230472 12.2950410406
303 1 0.0 36.0510242389 17.7844646344 12.2886129073
304 1 0.0 40.4548325998 12.967879882 0.0218803767
305 1 0.0 41.9810051167 12.9564938427 0.0541446609
306 2 0.0 36.2022038732 15.4616726583 12.2528873206
307 2 0.0 39.883494383 13.9542461294 0.0510542122
308 2 0.0 42.5651749866 13.9341012721 0.1024792783
309 4 0.0 28.3577120673 19.0106143279 12.2488079283
310 3 0.0 28.3359304959 16.4223293863 12.0983648864
311 1 0.0 27.5783663769 17.7389723332 12.2782289998
312 2 0.0 38.8807765314 15.4408511516 12.3307666274
313 1 0.0 45.3083245127 18.559560698 12.0513900664
314 1 0.0 44.0178411854 19.3704750581 12.1002191556
315 1 0.0 42.7343186582 18.5392149694 12.0840252045
316 1 0.0 42.7213533326 17.0206859856 12.0073820772
317 1 0.0 44.0202257443 16.2158856504 11.9416173292
318 1 0.0 45.3078610162 17.0371145486 11.9777137698
319 2 0.0 44.0111187864 20.5079600537 12.1777276086
320 2 0.0 44.0268132828 15.0765161711 11.8966203964
321 4 0.0 46.7104587281 19.0575355135 12.1640060164
322 3 0.0 46.7124695525 16.534888914 12.0408825409
323 1 0.0 47.5431654285 17.7938771471 12.1661075216
324 1 0.0 52.0691511418 17.7608192344 12.3584570476
325 1 0.0 51.3110687763 16.4282045075 12.3392962657
326 1 0.0 49.7857472175 16.4397230472 12.2950410406
327 1 0.0 49.0510242389 17.7844646344 12.2886129073
328 1 0.0 53.4548325998 12.967879882 0.0218803767
329 1 0.0 54.9810051167 12.9564938427 0.0541446609
330 2 0.0 49.2022038732 15.4616726583 12.2528873206
331 2 0.0 52.883494383 13.9542461294 0.0510542122
332 2 0.0 55.5651749866 13.9341012721 0.1024792783
333 4 0.0 41.3577120673 19.0106143279 12.2488079283
334 3 0.0 41.3359304959 16.4223293863 12.0983648864
335 1 0.0 40.5783663769 17.7389723332 12.2782289998
336 2 0.0 51.8807765314 15.4408511516 12.3307666274
337 1 0.0 58.3083245127 18.559560698 12.0513900664
338 1 0.0 57.0178411854 19.3704750581 12.1002191556
339 1 0.0 55.7343186582 18.5392149694 12.0840252045
340 1 0.0 55.7213533326 17.0206859856 12.0073820772
341 1 0.0 57.0202257443 16.2158856504 11.9416173292
342 1 0.0 58.3078610162 17.0371145486 11.9777137698
343 2 0.0 57.0111187864 20.5079600537 12.1777276086
344 2 0.0 57.0268132828 15.0765161711 11.8966203964
345 4 0.0 59.7104587281 19.0575355135 12.1640060164
346 3 0.0 59.7124695525 16.534888914 12.0408825409
347 1 0.0 60.5431654285 17.7938771471 12.1661075216
348 1 0.0 65.0691511418 17.7608192344 12.3584570476
349 1 0.0 64.3110687763 16.4282045075 12.3392962657
350 1 0.0 62.7857472175 16.4397230472 12.2950410406
351 1 0.0 62.0510242389 17.7844646344 12.2886129073
352 1 0.0 66.4548325998 12.967879882 0.0218803767
353 1 0.0 67.9810051167 12.9564938427 0.0541446609
354 2 0.0 62.2022038732 15.4616726583 12.2528873206
355 2 0.0 65.883494383 13.9542461294 0.0510542122
356 2 0.0 68.5651749866 13.9341012721 0.1024792783
357 4 0.0 54.3577120673 19.0106143279 12.2488079283
358 3 0.0 54.3359304959 16.4223293863 12.0983648864
