# LAMMPS data file written by OVITO Basic 3.9.4

4096 atoms
4 atom types

0.0 138.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

204 3 0.0 111.9204028026 10.8608225721 12.0983648864
205 1 0.0 111.1620001908 11.8773504801 12.2782289998
206 2 0.0 122.4649903453 9.5792292985 12.3307666274
207 1 0.0 128.8912583266 12.6979388449 12.0513900664
208 1 0.0 127.6016549994 13.508853205 12.1002191556
209 1 0.0 126.3190724721 12.6775931163 12.0840252045
210 1 0.0 126.3042071466 11.1590641325 12.0073820772
211 1 0.0 127.6047995582 10.3542637973 11.9416173292
212 1 0.0 128.8926148301 11.1754926955 11.9777137698
213 2 0.0 127.5956526003 14.6463382006 12.1777276086
214 2 0.0 127.6117070967 9.214894318 11.8966203964
215 4 0.0 130.2949790934 12.9959151228 12.1640060164
216 3 0.0 130.2956252197 10.9731476349 12.0408825409
217 1 0.0 131.1278792424 11.932255294 12.1661075216
218 1 0.0 135.6534849558 11.8991973813 12.3584570476
219 1 0.0 134.8957625903 10.5665826544 12.3392962657
220 1 0.0 133.3701410315 10.5781011941 12.2950410406
221 1 0.0 132.6345580528 11.9228427813 12.2886129073
222 1 0.0 137.0388664137 7.1062580289 0.0218803767
223 1 0.0 138.5650189306 7.0948719896 0.0541446609
224 2 0.0 132.7866176871 9.6000508052 12.2528873206
225 2 0.0 136.467588197 8.0926242763 0.0510542122
226 2 0.0 139.1494088005 8.072479419 0.1024792783
227 4 0.0 124.9409324325 12.9489939372 12.2488079283
228 3 0.0 124.9200028026 10.8608225721 12.0983648864
229 1 0.0 124.1629801908 11.8773504801 12.2782289998
230 2 0.0 135.4659703453 9.5792292985 12.3307666274
231 1 0.0 6.3082245127 18.559560698 12.0513900664
232 1 0.0 5.0172411854 19.3704750581 12.1002191556
233 1 0.0 3.7346586582 18.5392149694 12.0840252045
234 1 0.0 3.7211733326 17.0206859856 12.0073820772
235 1 0.0 5.0203857443 16.2158856504 11.9416173292
236 1 0.0 6.3082010162 17.0371145486 11.9777137698
237 2 0.0 5.0112387864 20.5079600537 12.1777276086
238 2 0.0 5.0272932828 15.0765161711 11.8966203964
239 4 0.0 7.7105652794 18.8575369759 12.1640060164
240 3 0.0 7.7125914058 16.834769488 12.0408825409
241 1 0.0 8.5434654285 17.7938771471 12.1661075216
242 1 0.0 13.0690711418 17.7608192344 12.3584570476
243 1 0.0 12.3113487763 16.4282045075 12.3392962657
244 1 0.0 10.7857272175 16.4397230472 12.2950410406
245 1 0.0 10.0501442389 17.7844646344 12.2886129073
246 1 0.0 14.4544525998 12.967879882 0.0218803767
247 1 0.0 15.9806051167 12.9564938427 0.0541446609
248 2 0.0 10.2022038732 15.4616726583 12.2528873206
249 2 0.0 13.883174383 13.9542461294 0.0510542122
250 2 0.0 16.5649949866 13.9341012721 0.1024792783
251 4 0.0 2.3565186186 18.8106157903 12.2488079283
252 3 0.0 2.3369689886 16.7224444252 12.0983648864
253 1 0.0 1.5785663769 17.7389723332 12.2782289998
254 2 0.0 12.8815565314 15.4408511516 12.3307666274
255 1 0.0 19.1077245127 18.559560698 12.0513900664
256 1 0.0 17.8181211854 19.3704750581 12.1002191556
257 1 0.0 16.5355386582 18.5392149694 12.0840252045
